Скважина,Дата,liq_rate,oil_rate,wct,gas_rate,gf,gas_prod,days_on,oil_prod,frac,month,Давление пластовое,ПЛАСТ_X,ПЛАСТ_Y,clust,num_of_pr,num_of_plast
005642f48d3e86d871bb701bac2ba042,2005-06-01,29.77777777777778,29.72222222222222,0.001865671641791078,1642.6666666666667,64.0,29568.0,18.0,462.0,1.0,0,103.15,,,,2.0,
005642f48d3e86d871bb701bac2ba042,2005-07-01,6.290322580645161,6.290322580645161,0.0,350.96774193548384,64.0,10880.0,31.0,170.0,1.0,1,103.15,,,,2.0,
005642f48d3e86d871bb701bac2ba042,2005-08-01,5.366666666666666,5.366666666666666,0.0,298.6666666666667,64.0,8960.0,30.0,140.0,1.0,2,103.15,,,,2.0,
005642f48d3e86d871bb701bac2ba042,2005-09-01,5.5,5.5,0.0,305.2307692307692,64.0,7936.0,26.0,124.0,1.0,3,103.15,,,,2.0,
005642f48d3e86d871bb701bac2ba042,2005-10-01,9.733333333333333,9.733333333333333,0.0,541.8666666666667,64.0,16256.0,30.0,254.0,1.0,4,103.15,,,,2.0,
005642f48d3e86d871bb701bac2ba042,2005-11-01,47.12903225806452,47.064516129032256,0.001368925393566034,2619.8709677419356,64.0,81216.0,31.0,1269.0,1.0,5,103.15,,,,2.0,
02384c4d1324238fb99fcf66c88fbdad,2011-03-01,41.02040816326531,32.204081632653065,0.21492537313432836,1941.122448979592,69.22489082969432,31705.0,16.333333333333332,458.0,1.0,0,218.5666666666667,,,,3.0,
02384c4d1324238fb99fcf66c88fbdad,2011-04-01,54.61290322580645,36.354838709677416,0.3343177790903721,2603.7096774193546,82.2782874617737,80715.0,31.0,981.0,1.0,1,218.5666666666667,,,,3.0,
02384c4d1324238fb99fcf66c88fbdad,2011-05-01,46.9,29.0,0.38166311300639655,1987.3666666666666,78.75957727873184,59621.0,30.0,757.0,1.0,2,218.5666666666667,,,,3.0,
02384c4d1324238fb99fcf66c88fbdad,2011-06-01,47.064516129032256,27.06451612903226,0.42494859492803294,1943.258064516129,82.52191780821917,60241.0,31.0,730.0,1.0,3,218.5666666666667,,,,3.0,
02384c4d1324238fb99fcf66c88fbdad,2011-07-01,33.35967741935484,23.714193548387097,0.2891360054150752,1681.0967741935483,81.48287130415747,52114.0,31.0,639.57,1.0,4,218.5666666666667,,,,3.0,
02384c4d1324238fb99fcf66c88fbdad,2011-08-01,33.35967741935484,23.714193548387097,0.2891360054150752,1681.0967741935483,81.48287130415747,52114.0,31.0,639.57,1.0,5,218.5666666666667,,,,3.0,
02bd0350b7f0cef7af7ca50801d89810,2011-08-01,32.07,18.27,0.4303086997193639,2148.0,140.2088772845953,2148.0,1.0,15.32,1.0,0,255.15,12979858.15676308,39981298.19433062,1.0,2.0,1.0
02bd0350b7f0cef7af7ca50801d89810,2011-09-01,32.906129032258065,23.719032258064516,0.27919105176994197,2948.6129032258063,148.16910084128966,91407.0,31.0,616.91,1.0,1,255.15,12979858.15676308,39981298.19433062,1.0,2.0,1.0
02bd0350b7f0cef7af7ca50801d89810,2011-10-01,31.232333333333333,25.653666666666666,0.17861831221917457,2986.233333333333,138.74399876103453,89587.0,30.0,645.7,1.0,2,255.15,12979858.15676308,39981298.19433062,1.0,2.0,1.0
02bd0350b7f0cef7af7ca50801d89810,2011-11-01,30.828709677419358,29.266774193548386,0.05066496458056491,3636.3225806451615,148.08985811875985,112726.0,31.0,761.2,1.0,3,255.15,12979858.15676308,39981298.19433062,1.0,2.0,1.0
02bd0350b7f0cef7af7ca50801d89810,2011-12-01,37.91483870967742,36.685483870967744,0.03242410835829013,4485.322580645161,145.7265629093958,139045.0,31.0,954.15,1.0,4,255.15,12979858.15676308,39981298.19433062,1.0,2.0,1.0
02bd0350b7f0cef7af7ca50801d89810,2012-01-01,32.79785714285715,32.35107142857143,0.013622405644968083,3742.1428571428573,137.8702351346728,104780.0,28.0,759.99,1.0,5,255.15,12979858.15676308,39981298.19433062,1.0,2.0,1.0
02dba139f57f4aa50c3fbf56f586551f,2005-10-01,24.642857142857142,19.785714285714285,0.19710144927536233,1101.7142857142858,64.0,15424.0,14.0,241.0,1.0,0,,,,,,
02dba139f57f4aa50c3fbf56f586551f,2005-11-01,24.612903225806452,21.677419354838708,0.11926605504587151,1207.741935483871,64.0,37440.0,31.0,585.0,1.0,1,,,,,,
02dba139f57f4aa50c3fbf56f586551f,2005-12-01,14.129032258064516,13.32258064516129,0.057077625570776225,741.1612903225806,64.0,22976.0,31.0,359.0,1.0,2,,,,,,
02dba139f57f4aa50c3fbf56f586551f,2006-01-01,12.25,11.0,0.10204081632653061,612.5714285714286,64.0,17152.0,28.0,268.0,1.0,3,,,,,,
