,GK_mean,GK_median,GK_min,GK_max,BK_mean,BK_median,BK_min,BK_max,thick
005642f48d3e86d871bb701bac2ba042,6.187767285107528,6.205048348348421,5.3303351366118035,7.472370421009713,25.609053149578077,22.708279607800215,15.427688478406433,48.546050652841295,41.0
02384c4d1324238fb99fcf66c88fbdad,4.781146215660509,4.789531526209952,4.328603715668916,5.403806288523004,64.66553486449459,63.47580166985117,37.15607582369075,103.06127052698258,21.4
02bd0350b7f0cef7af7ca50801d89810,13.920133736469838,14.447299736742977,8.203817560345303,22.671964699983544,36.96834230897104,33.84763295961835,21.31489382007192,57.21290226847636,12.9
02dba139f57f4aa50c3fbf56f586551f,6.1101601514960455,6.106062758728035,4.872813465352666,7.768855574361341,10.81531156755374,9.025353262326579,7.342493071702085,28.70643994764109,59.6
031f7cf95ada8d6e49ad6bd96c886d9c,6.086265363015154,6.060274348567513,5.662579703871972,6.560562227810865,54.50846225276599,51.46167278129044,29.951037588618934,88.36403932184754,8.4
038753062b1b3941bbce024a2af27e18,5.473594527565716,5.565655725180321,4.774609140871391,6.297124824318257,64.38913085892501,50.543845294946635,35.94956935324606,118.27021404221973,9.2
04154a658a396d1c18331ebf0330744f,12.127534265345313,12.071542828178156,10.524061174546521,14.39155023406675,13.57202845619583,11.738271092777175,8.001209867471868,28.341964412896665,36.8
046568c4bd1c6343c5f932ef6a21b112,6.422564484824658,6.327903824180533,6.098185559281641,7.213658565010745,98.42194325950385,96.27776885653597,52.97201098003572,148.123124678821,4.2
047a7a651d481e1c43b691c9e7dc07c9,4.4091508355534845,4.403001397677542,4.120117530023339,5.072726563511884,112.65402932473918,116.15512836122595,60.39855259301177,178.17653085943493,9.7
04d7884a9f7019671285b87ca468d0f1,5.649968557116027,5.5183572884831475,4.673620176847907,7.152200380622957,8.68121847453801,8.199140602110358,6.678561160219774,15.520289803183774,46.1
053c7b37c95c4617f331791134227db7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0556368a803a0c64972646d4bfaecd86,29.26221821155904,34.235593906057275,12.257091663835094,39.56077730303496,346.07484348441807,323.20779364286534,180.4917154708322,598.4698768001466,9.2
05ac8fa0edaeedff9ad4b752f9c9383b,31.057378231367,33.47223590355465,17.40340360466764,38.38531592047405,218.66379345895214,228.23423906016643,114.22761278339588,323.9782648149627,12.0
061047df78f8b8cca17f37f266c9f527,5.31772303631415,5.122370081151573,4.915678536989499,6.804772206397556,20.33202851356202,21.666237211980043,12.393999618844534,24.883902066448048,17.3
0629ab7d6c84f651f73ec122c9bb4237,8.016510888642852,8.105114977719518,6.399156933499982,10.212267972787934,23.305101101806194,19.83255794370996,13.90865979291561,53.30783100072524,67.9
